,condition,created_at,id,max_quantity,merchant_return_insurance,min_quantity,name,price,rush_delivery,sku_id,state,stock,weight,category_url,rating_average_rate,rating_user_count,sla_type,sla_value,specs_brand,stats_interest_count,stats_sold_count,stats_view_count,stats_waiting_payment_count,store_address_city,store_address_province,store_brand_seller,store_delivery_time,store_id,store_description,store_level_name,store_name,store_premium_level,store_premium_top_seller,store_rejection_recent_transactions,store_rejection_rejected,store_reviews_negative,store_reviews_positive,store_sla_type,store_sla_value,store_subscriber_amount,store_url,warranty_cheapest,deal_applied_date,deal_discount_price,deal_expired_date,deal_original_price,deal_percentage,url,timestamp
226,Baru,2020-11-02 13:18:21.000000,3wx1a93,2147483647,False,1,PD ACNE SERUM - PRIMADERMA ACNE SERUM SERUM KULIT BERJERAWAT DAN BEKAS JERAWAT,37500,False,8567265566,available,161,100,https://www.bukalapak.com/c/perawatan-kecantikan/perawatan-wajah/masker-wajah-wanita,4.9,139,,0,,1,4573,0,0.0,Solo,Jawa Tengah,False,16 jam,71310202,,Recommended Seller,bellaskinbeauty,platinum,True,100,0,69,24869,normal,2,110,https://www.bukalapak.com/u/bellaskinbeauty,False,,,,,,https://www.bukalapak.com/p/perawatan-kecantikan/perawatan-wajah/masker-wajah-wanita/3wx1a93-jual-pd-acne-serum-primaderma-acne-serum-serum-kulit-berjerawat-dan-bekas-jerawat,2021-12-27 17:35:38.413312
227,Baru,2016-02-29 18:10:05.000000,1133ji,2147483647,False,1,Masker Mata Collagen / Masker Mata Gold,25000,False,66050618,available,9844,200,https://www.bukalapak.com/c/perawatan-kecantikan/perawatan-wajah/masker-wajah-wanita,4.8,662,custom,5,Wardah,554,4563,0,0.0,Kab. Bogor,Jawa Barat,False,2-3 hari,9430315,"Marhaban Ya Ramadhan, silahkan langsung order, InsyaAllah semuanya ready, salam berkah untuk kita semua :)",Recommended Seller,Glory Grosir,platinum,True,100,1,1,31456,normal,2,2057,https://www.bukalapak.com/u/3glory,False,,,,,,https://www.bukalapak.com/p/perawatan-kecantikan/perawatan-wajah/masker-wajah-wanita/1133ji-jual-masker-mata-collagen-masker-mata-gold,2021-12-27 17:35:38.413312
228,Baru,2018-09-09 05:20:32.000000,mrmpxx,2147483647,False,1,JR Mangkok masker kosmetik set,4100,False,1376537057,available,425,100,https://www.bukalapak.com/c/perawatan-kecantikan/perawatan-wajah/masker-wajah-wanita,4.8,303,,0,Merek lainnya,296,4556,0,0.0,Jakarta Utara,DKI Jakarta,False,21 jam,36035292,,Recommended Seller,Julia Roberts,platinum,True,100,0,211,49672,normal,2,2555,https://www.bukalapak.com/u/juliaroberts,False,,,,,,https://www.bukalapak.com/p/perawatan-kecantikan/perawatan-wajah/masker-wajah-wanita/mrmpxx-jual-jr-mangkok-masker-kosmetik-set,2021-12-27 17:35:38.413312
229,Baru,2021-03-31 03:02:12.000000,4ecf95j,2147483647,False,1,Wardah Acnederm Day Moisturizer 40ml,54700,False,9635989654,available,222,80,https://www.bukalapak.com/c/perawatan-kecantikan/perawatan-wajah/pembersih-wajah-wanita,4.9,200,,0,,2,4551,0,0.0,Karawang,Jawa Barat,False,1-2 hari,47396727,Selamat Belanja Di Nabil Star Shop.. Kepuasan pembeli adalah Prioritas utama Kami... Dapatkan hadiah / Bonus setiap pembelian min.150.000/inv Selama bulan Ramadhan.,Top Seller,NabiL StaR,platinum,False,100,30,0,119905,normal,2,229,https://www.bukalapak.com/u/prapto_r_to_r,False,,,,,,https://www.bukalapak.com/p/perawatan-kecantikan/perawatan-wajah/pembersih-wajah-wanita/4ecf95j-jual-wardah-acnederm-day-moisturizer-40ml,2021-12-27 17:35:38.413312
230,Baru,2021-01-08 09:07:28.000000,471thcg,2147483647,False,1,Scarlett Whitening Acne Serum 15ml,55000,False,9187413386,available,81,105,https://www.bukalapak.com/c/perawatan-kecantikan/perawatan-wajah/suplemen-wajah-wanita,5.0,221,,0,,24,4533,0,13.0,Kab. Bekasi,Jawa Barat,False,17 jam,59925814,"semua produk ORIGINAL, pengiriman senin-sabtu,
Resi input H+1 setelah pengiriman 
Minggu/ tanggal merah OFF",Juragan,gisellashopid,platinum,True,100,0,1,3947,normal,2,132,https://www.bukalapak.com/u/gisellashopid94,False,2021-11-10 17:00:00.000000,55000,2023-01-31 16:59:59.000000,75000,27,https://www.bukalapak.com/p/perawatan-kecantikan/perawatan-wajah/suplemen-wajah-wanita/471thcg-jual-scarlett-whitening-acne-serum-15ml,2021-12-27 17:35:38.413312
231,Baru,2020-11-02 13:23:08.000000,3wx1sy0,2147483647,False,1,THERASKIN SUNCARE KL SUN CARE KL,14500,False,8567289946,available,1299,100,https://www.bukalapak.com/c/perawatan-kecantikan/perawatan-wajah/masker-wajah-wanita,5.0,111,,0,,0,4522,0,0.0,Solo,Jawa Tengah,False,16 jam,71310202,,Recommended Seller,bellaskinbeauty,platinum,True,100,0,69,24869,normal,2,110,https://www.bukalapak.com/u/bellaskinbeauty,False,,,,,,https://www.bukalapak.com/p/perawatan-kecantikan/perawatan-wajah/masker-wajah-wanita/3wx1sy0-jual-theraskin-suncare-kl-sun-care-kl,2021-12-27 17:35:38.413312
232,Baru,2021-11-05 08:04:44.000000,4gr1te7,2147483647,False,1,PONDS POND FACIAL FOAM 100 GRAM SABUN CUCI MUKA PONDS WANITA 100 GRAM,20999,False,9801204127,available,9858,130,https://www.bukalapak.com/c/perawatan-kecantikan/perawatan-wajah/pembersih-wajah-wanita,4.9,177,,0,,1,4489,0,0.0,Kab. Tangerang,Banten,False,1-2 hari,529486271,,Recommended Seller,TOKOKITAOFFICIAL,platinum,False,100,14,138,22939,normal,2,30,https://www.bukalapak.com/u/tokokitaofficial,False,,,,,,https://www.bukalapak.com/p/perawatan-kecantikan/perawatan-wajah/pembersih-wajah-wanita/4gr1te7-jual-ponds-pond-facial-foam-100-gram-sabun-cuci-muka-ponds-wanita-100-gram,2021-12-27 17:35:38.413312
233,Baru,2020-11-19 10:46:51.000000,3zflig1,2147483647,False,1,Erto s Glowing Night Cream,95000,False,8721866484,available,40,100,https://www.bukalapak.com/c/perawatan-kecantikan/perawatan-wajah/pembersih-wajah-wanita,4.9,217,,0,,11,4484,0,1.0,Jakarta Timur,DKI Jakarta,True,1-2 hari,526806989,"ERTO`S Official ERTOS Official adalah akun resmi dari Ertos di platform Bukalapak. Spesialis di skin care, terdaftar BPOM dan bersertifikat Halal MUI. Pengiriman Cepat Free Konsultasi Retur dg Bukti Video Ketika Unboxing Hasil Yg Nyata",Good Seller,Erto's Official,platinum,True,100,0,1,8873,normal,2,150,https://www.bukalapak.com/u/ertosofficialshop,False,2021-12-06 17:00:00.000000,95000,2021-12-31 16:59:59.000000,100000,5,https://www.bukalapak.com/p/perawatan-kecantikan/perawatan-wajah/pembersih-wajah-wanita/3zflig1-jual-erto-s-glowing-night-cream,2021-12-27 17:35:38.413312
234,Baru,2021-04-06 09:17:19.000000,4eicb74,2147483647,False,1,Kuas masker murah bagus,2500,False,9646323268,available,652,20,https://www.bukalapak.com/c/perawatan-kecantikan/perawatan-wajah/masker-wajah-wanita,4.9,201,,0,,0,4418,0,0.0,Jakarta Barat,DKI Jakarta,False,1-2 hari,74113314,,Good Seller,Hobimaskeran,platinum,False,14,5,6,7043,normal,2,3,https://www.bukalapak.com/u/velatershop,False,,,,,,https://www.bukalapak.com/p/perawatan-kecantikan/perawatan-wajah/masker-wajah-wanita/4eicb74-jual-kuas-masker-murah-bagus,2021-12-27 17:35:38.413312
235,Baru,2021-03-31 03:07:25.000000,4ecfl4v,2147483647,False,1,Emina Apricot Jam Face Scrub 60ml,43700,False,9636005638,available,1213,70,https://www.bukalapak.com/c/perawatan-kecantikan/perawatan-wajah/masker-wajah-wanita,4.9,200,,0,,0,4415,0,0.0,Karawang,Jawa Barat,False,1-2 hari,47396727,Selamat Belanja Di Nabil Star Shop.. Kepuasan pembeli adalah Prioritas utama Kami... Dapatkan hadiah / Bonus setiap pembelian min.150.000/inv Selama bulan Ramadhan.,Top Seller,NabiL StaR,platinum,False,100,30,0,119905,normal,2,229,https://www.bukalapak.com/u/prapto_r_to_r,False,,,,,,https://www.bukalapak.com/p/perawatan-kecantikan/perawatan-wajah/masker-wajah-wanita/4ecfl4v-jual-emina-apricot-jam-face-scrub-60ml,2021-12-27 17:35:38.413312
